Y,X1,X2,X3
34455748,92,607,617
173673500,875,347,572
107599698,597,969,186
2855814,82,247,141
478743209,817,863,679
12708150,57,637,350
163416288,552,388,763
68029259,709,419,229
13561040,20,716,947
777280,5,448,347
37080072,159,948,246
239303790,517,555,834
306978896,724,797,532
4866876,623,31,252
10338768,44,321,732
158648432,632,401,626
302533154,823,847,434
7273200,240,319,95
76085100,300,273,929
2313288,228,114,89
28890888,676,102,419
454152930,854,879,605
5485968,612,9,996
21180576,356,888,67
432300664,547,892,886
64005375,375,259,659
39770280,166,484,495
162279040,712,296,770
5283600,925,84,68
181225800,342,757,700
25867512,764,57,594
157444738,382,421,979
262819440,860,468,653
80140347,513,519,301
50072832,422,128,927
332133934,643,583,886
286194480,538,620,858
48334000,338,143,1000
162797100,425,699,548
17217816,484,42,847
97297200,154,780,810
93936024,378,531,468
190950912,342,727,768
5661900,405,932,15
157318175,835,245,769
3785628,357,964,11
37638,369,6,17
319683672,774,924,447
114602229,609,203,927
2363140,298,10,793
59823400,728,475,173
89058765,895,123,809
210222414,981,983,218
537748602,874,851,723
59061664,316,383,488
67497640,658,460,223
203297450,970,251,835
142380153,267,921,579
51919224,476,371,294
13121856,88,152,981
1422891,471,57,53
138607095,957,349,415
2922150,105,110,253
732844500,750,986,991
44494560,318,159,880
10286432,79,208,626
94384134,897,494,213
37215410,290,181,709
56019228,366,206,743
15958440,582,30,914
171899928,628,411,666
53843127,151,669,533
158871396,863,529,348
158340464,232,802,851
10712856,231,374,124
126128205,735,829,207
92398176,174,888,598
229996260,351,978,670
73956240,432,505,339
2359340,46,230,223
94772760,394,844,285
133871375,835,605,265
160633800,540,302,985
25739749,743,49,707
173534020,671,268,965
101425002,271,938,399
258654880,562,880,523
302533860,835,654,554
10248098,14,829,883
17340180,517,43,780
141315201,491,849,339
239362745,827,535,541
69495720,98,892,795
147837480,380,942,413
639977988,977,988,663
110890728,468,391,606
26868600,759,236,150
39088644,883,186,238
487464800,680,730,982
295454720,880,344,976
367136,88,149,28
155478960,819,280,678
101045120,620,176,926
203803938,522,923,423
185449068,861,279,772
294475632,636,748,619
2110464,256,12,687
53392944,957,88,634
19901042,103,518,373
676020300,915,901,820
98282220,622,687,230
34947240,463,111,680
395951500,830,658,725
822255,35,573,41
478050860,805,668,889
1459620,51,540,53
219995840,992,335,662
22168692,273,606,134
51888060,477,196,555
20108832,372,932,58
43359669,667,233,279
5282752,197,419,64
102915248,718,437,328
12617341,341,227,163
8774936,29,694,436
4383720,396,270,41
265996962,462,803,717
58942104,122,652,741
10585380,260,123,331
36350760,255,824,173
312742500,483,700,925
62305815,155,429,937
151298550,351,466,925
122476860,783,395,396
384216174,586,831,789
734296980,867,901,940
243110805,985,511,483
10881177,543,691,29
29652480,135,832,264
17288964,462,891,42
13837005,545,651,39
24603372,111,282,786
122333328,351,848,411
337660584,984,409,839
105593040,441,820,292
250711650,413,950,639
341194150,737,470,985
3238978,191,278,61
285300204,978,938,311
28980432,822,452,78
78066857,509,803,191
202856592,933,428,508
96159000,285,482,700
108684576,312,638,546
298319280,615,976,497
126595480,380,418,797
14809176,327,136,333
36648045,417,135,651
55301406,379,586,249
25629912,536,207,231
12164005,379,917,35
180360000,1000,216,835
26870242,101,434,613
13609197,291,357,131
5268200,265,71,280
24641184,232,334,318
541983052,884,673,911
341202792,483,908,778
133256970,335,902,441
18879136,904,23,908
198858240,822,896,270
319632912,568,918,613
33470056,269,604,206
3414960,306,24,465
35349237,347,343,297
121523400,746,905,180
11874432,867,16,856
65666160,707,430,216
115240792,296,617,631
535817601,967,579,957
359886600,612,950,619
200393178,978,289,709
54254592,232,504,464
193163880,798,455,532
59185038,627,433,218
111497272,394,538,526
419100480,648,703,920
177392652,348,599,851
273113280,480,699,814
33313194,474,411,171
148697613,423,843,417
438476796,838,709,738
89767136,268,596,562
68371548,823,161,516
11886385,479,35,709
187282880,995,272,692
112758030,614,371,495
7775768,971,91,88
191840000,545,352,1000
75272600,442,524,325
169021188,779,441,492
15989400,108,210,705
234473232,784,393,761
91355264,416,308,713
18022592,821,56,392
199767240,863,360,643
132675500,460,415,695
214426842,438,721,679
29940045,267,205,547
161807976,396,453,902
108998946,694,189,831
866250,350,275,9
1735992,893,12,162
18411360,634,605,48
45769850,251,350,521
23970000,940,510,50
423330600,847,714,700
202667283,441,667,689
18324375,145,375,337
62874525,615,889,115
60313110,221,330,827
564232536,948,766,777
67870728,698,219,444
53553440,773,866,80
25219584,288,208,421
19084065,615,341,91
49696780,785,532,119
11896092,74,351,458
80778852,276,539,543
3173254,199,134,119
377966736,683,976,567
221526592,986,944,238
267641380,865,412,751
545756950,719,850,893
28251756,159,268,663
36800955,501,249,295
6215013,119,63,829
313739400,348,950,949
121647360,640,237,802
23529600,342,688,100
187565000,625,932,322
4237596,319,738,18
800514,39,33,622
393082704,882,452,986
34655388,92,409,921
61871040,434,330,432
90892502,158,997,577
205271250,817,375,670
61636120,392,205,767
15235227,537,49,579
160817148,498,642,503
240588810,462,699,745
12385305,45,577,477
15998444,409,508,77
48500130,903,410,131
193584220,554,415,842
137984834,307,586,767
549843876,977,579,972
64250550,350,523,351
9777348,27,958,378
566892800,877,800,808
34990080,136,402,640
33439000,562,70,850
8379840,464,645,28
177028320,376,590,798
23789843,539,437,101
32098462,517,74,839
10795200,130,173,480
152497560,996,251,610
15131904,272,732,76
29093757,609,473,101
36951600,50,742,996
2951858,14,331,637
48845808,144,541,627
40248000,120,650,516
82609516,319,404,641
5752800,34,376,450
8047120,194,61,680
5397942,11,566,867
104537385,243,887,485
11044776,914,76,159
291720,10,66,442
10806288,867,779,16
20541950,425,338,143
26574000,645,206,200
18398016,36,702,728
8853390,47,805,234
262304050,425,842,733
7858400,55,608,235
1980295,659,601,5
199038,677,21,14
19772640,368,135,398
313174,34,61,151
174712824,858,852,239
310085676,628,661,747
54490890,530,129,797
